1783989952.313468, CLIP GPU encode pilot, pipeline, prepare, start, 81821666397208
1783989958.847186, CLIP GPU encode pilot, VQA dataloader, run, end, 81828199919791
1783989958.847246, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828199977875
1783989958.898578, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828251317250
1783989958.898632, CLIP GPU encode pilot, pipeline - val, run, end, 310973944351201834197165646557977405191, 1783989958.842922, 1, 46, 81828251367875
1783989958.898807, CLIP GPU encode pilot, pipeline - val, run, start, 163771761979164944476568621820790600208, 1783989958.898779, 1, 47, 81828251539291
1783989958.898900, CLIP GPU encode pilot, VQA dataloader, run, start, 81828251632916
1783989958.901107, CLIP GPU encode pilot, VQA dataloader, run, end, 81828253840458
1783989958.901167, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828253897833
1783989958.952076, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828304814916
1783989958.952134, CLIP GPU encode pilot, pipeline - val, run, end, 163771761979164944476568621820790600208, 1783989958.898779, 1, 47, 81828304868375
1783989958.952319, CLIP GPU encode pilot, pipeline - val, run, start, 14883037231215421460344923552300156783, 1783989958.952284, 1, 48, 81828305051041
1783989958.952400, CLIP GPU encode pilot, VQA dataloader, run, start, 81828305132875
1783989958.954779, CLIP GPU encode pilot, VQA dataloader, run, end, 81828307511833
1783989958.954845, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828307577166
1783989959.005911, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828358649291
1783989959.005965, CLIP GPU encode pilot, pipeline - val, run, end, 14883037231215421460344923552300156783, 1783989958.952284, 1, 48, 81828358698000
1783989959.006134, CLIP GPU encode pilot, pipeline - val, run, start, 129858169010878762311518629933856932878, 1783989959.006106, 1, 49, 81828358865208
1783989959.006215, CLIP GPU encode pilot, VQA dataloader, run, start, 81828358946000
1783989959.009324, CLIP GPU encode pilot, VQA dataloader, run, end, 81828362056000
1783989959.009383, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828362113541
1783989959.060058, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828412795000
1783989959.060110, CLIP GPU encode pilot, pipeline - val, run, end, 129858169010878762311518629933856932878, 1783989959.006106, 1, 49, 81828412843666
1783989959.060287, CLIP GPU encode pilot, pipeline - val, run, start, 216541862318228081679683876037734299766, 1783989959.060260, 1, 50, 81828413018166
1783989959.060369, CLIP GPU encode pilot, VQA dataloader, run, start, 81828413100791
1783989959.063955, CLIP GPU encode pilot, VQA dataloader, run, end, 81828416686916
1783989959.064013, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828416743916
1783989959.115291, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828468027458
1783989959.115343, CLIP GPU encode pilot, pipeline - val, run, end, 216541862318228081679683876037734299766, 1783989959.060260, 1, 50, 81828468075833
1783989959.115547, CLIP GPU encode pilot, pipeline - val, run, start, 192753658122768231462651150180042256217, 1783989959.115520, 1, 51, 81828468277791
1783989959.115634, CLIP GPU encode pilot, VQA dataloader, run, start, 81828468365541
1783989959.119326, CLIP GPU encode pilot, VQA dataloader, run, end, 81828472058208
1783989959.119367, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828472097250
1783989959.170785, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828523523166
1783989959.170838, CLIP GPU encode pilot, pipeline - val, run, end, 192753658122768231462651150180042256217, 1783989959.115520, 1, 51, 81828523570041
1783989959.171023, CLIP GPU encode pilot, pipeline - val, run, start, 98194181222758406867767686826630147189, 1783989959.170990, 1, 52, 81828523754083
1783989959.171108, CLIP GPU encode pilot, VQA dataloader, run, start, 81828523839041
1783989959.173640, CLIP GPU encode pilot, VQA dataloader, run, end, 81828526371625
1783989959.173701, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828526429833
1783989959.224636, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828577376791
1783989959.224710, CLIP GPU encode pilot, pipeline - val, run, end, 98194181222758406867767686826630147189, 1783989959.170990, 1, 52, 81828577442416
1783989959.224892, CLIP GPU encode pilot, pipeline - val, run, start, 242970840296290312463167129669889052212, 1783989959.224862, 1, 53, 81828577621333
1783989959.224982, CLIP GPU encode pilot, VQA dataloader, run, start, 81828577712583
1783989959.228134, CLIP GPU encode pilot, VQA dataloader, run, end, 81828580864916
1783989959.228199, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828580927416
1783989959.279240, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828631975833
1783989959.279289, CLIP GPU encode pilot, pipeline - val, run, end, 242970840296290312463167129669889052212, 1783989959.224862, 1, 53, 81828632020833
1783989959.279455, CLIP GPU encode pilot, pipeline - val, run, start, 237871007213365455431319727871477716269, 1783989959.279428, 1, 54, 81828632184083
1783989959.279533, CLIP GPU encode pilot, VQA dataloader, run, start, 81828632262708
1783989959.282656, CLIP GPU encode pilot, VQA dataloader, run, end, 81828635386666
1783989959.282714, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828635442041
1783989959.333718, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828686452500
1783989959.333769, CLIP GPU encode pilot, pipeline - val, run, end, 237871007213365455431319727871477716269, 1783989959.279428, 1, 54, 81828686500458
1783989959.333965, CLIP GPU encode pilot, pipeline - val, run, start, 314786377742622582954264083000230320914, 1783989959.333931, 1, 55, 81828686694416
1783989959.334046, CLIP GPU encode pilot, VQA dataloader, run, start, 81828686775833
1783989959.336611, CLIP GPU encode pilot, VQA dataloader, run, end, 81828689341416
1783989959.336674, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828689402833
1783989959.388436, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828741170208
1783989959.388496, CLIP GPU encode pilot, pipeline - val, run, end, 314786377742622582954264083000230320914, 1783989959.333931, 1, 55, 81828741226791
1783989959.388677, CLIP GPU encode pilot, pipeline - val, run, start, 133026031671529597393971271518093700891, 1783989959.388641, 1, 56, 81828741405708
1783989959.388760, CLIP GPU encode pilot, VQA dataloader, run, start, 81828741489333
1783989959.393645, CLIP GPU encode pilot, VQA dataloader, run, end, 81828746375291
1783989959.393686, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828746413750
1783989959.446014, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828798749166
1783989959.446064, CLIP GPU encode pilot, pipeline - val, run, end, 133026031671529597393971271518093700891, 1783989959.388641, 1, 56, 81828798794000
1783989959.446236, CLIP GPU encode pilot, pipeline - val, run, start, 21926725734071230588898870981409604132, 1783989959.446205, 1, 57, 81828798964500
1783989959.446347, CLIP GPU encode pilot, VQA dataloader, run, start, 81828799074750
1783989959.450627, CLIP GPU encode pilot, VQA dataloader, run, end, 81828803356833
1783989959.450670, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828803398541
1783989959.501668, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828854410791
1783989959.501739, CLIP GPU encode pilot, pipeline - val, run, end, 21926725734071230588898870981409604132, 1783989959.446205, 1, 57, 81828854468666
1783989959.501913, CLIP GPU encode pilot, pipeline - val, run, start, 33860799606005868785790524380991042840, 1783989959.501886, 1, 58, 81828854641583
1783989959.502003, CLIP GPU encode pilot, VQA dataloader, run, start, 81828854731833
1783989959.505619, CLIP GPU encode pilot, VQA dataloader, run, end, 81828858348333
1783989959.505680, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828858406791
1783989959.556621, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828909358541
1783989959.556696, CLIP GPU encode pilot, pipeline - val, run, end, 33860799606005868785790524380991042840, 1783989959.501886, 1, 58, 81828909425916
1783989959.556873, CLIP GPU encode pilot, pipeline - val, run, start, 162320799512203017610141941327733034329, 1783989959.556845, 1, 59, 81828909609833
1783989959.556968, CLIP GPU encode pilot, VQA dataloader, run, start, 81828909696666
1783989959.558561, CLIP GPU encode pilot, VQA dataloader, run, end, 81828911289625
1783989959.558619, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828911344791
1783989959.609735, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81828962466750
1783989959.609783, CLIP GPU encode pilot, pipeline - val, run, end, 162320799512203017610141941327733034329, 1783989959.556845, 1, 59, 81828962512666
1783989959.609946, CLIP GPU encode pilot, pipeline - val, run, start, 251680154854021413138132695113505469744, 1783989959.609919, 1, 60, 81828962683000
1783989959.610035, CLIP GPU encode pilot, VQA dataloader, run, start, 81828962762541
1783989959.611958, CLIP GPU encode pilot, VQA dataloader, run, end, 81828964685250
1783989959.612011, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81828964736458
1783989959.663317, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829016052875
1783989959.663386, CLIP GPU encode pilot, pipeline - val, run, end, 251680154854021413138132695113505469744, 1783989959.609919, 1, 60, 81829016116250
1783989959.663571, CLIP GPU encode pilot, pipeline - val, run, start, 213566636474720724402232700487774189411, 1783989959.663544, 1, 61, 81829016298708
1783989959.663668, CLIP GPU encode pilot, VQA dataloader, run, start, 81829016396250
1783989959.667300, CLIP GPU encode pilot, VQA dataloader, run, end, 81829020028458
1783989959.667342, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829020068541
1783989959.719233, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829071966083
1783989959.719285, CLIP GPU encode pilot, pipeline - val, run, end, 213566636474720724402232700487774189411, 1783989959.663544, 1, 61, 81829072013000
1783989959.719457, CLIP GPU encode pilot, pipeline - val, run, start, 262722673272990556160280502152945962160, 1783989959.719431, 1, 62, 81829072183791
1783989959.719540, CLIP GPU encode pilot, VQA dataloader, run, start, 81829072266333
1783989959.723460, CLIP GPU encode pilot, VQA dataloader, run, end, 81829076187500
1783989959.723519, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829076244541
1783989959.774913, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829127645625
1783989959.774975, CLIP GPU encode pilot, pipeline - val, run, end, 262722673272990556160280502152945962160, 1783989959.719431, 1, 62, 81829127703208
1783989959.775150, CLIP GPU encode pilot, pipeline - val, run, start, 263997077119461756587909231115071405561, 1783989959.775123, 1, 63, 81829127876750
1783989959.775230, CLIP GPU encode pilot, VQA dataloader, run, start, 81829127956500
1783989959.777051, CLIP GPU encode pilot, VQA dataloader, run, end, 81829129778041
1783989959.777089, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829129816000
1783989959.828091, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829180822583
1783989959.828143, CLIP GPU encode pilot, pipeline - val, run, end, 263997077119461756587909231115071405561, 1783989959.775123, 1, 63, 81829180870250
1783989959.828321, CLIP GPU encode pilot, pipeline - val, run, start, 52086090008344162293704768702986177900, 1783989959.828294, 1, 64, 81829181046583
1783989959.828406, CLIP GPU encode pilot, VQA dataloader, run, start, 81829181132375
1783989959.832447, CLIP GPU encode pilot, VQA dataloader, run, end, 81829185174000
1783989959.832488, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829185212750
1783989959.884248, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829236978916
1783989959.884299, CLIP GPU encode pilot, pipeline - val, run, end, 52086090008344162293704768702986177900, 1783989959.828294, 1, 64, 81829237025416
1783989959.884479, CLIP GPU encode pilot, pipeline - val, run, start, 62614350662538051817666435393464228992, 1783989959.884448, 1, 65, 81829237204291
1783989959.884564, CLIP GPU encode pilot, VQA dataloader, run, start, 81829237289166
1783989959.888270, CLIP GPU encode pilot, VQA dataloader, run, end, 81829240996250
1783989959.888331, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829241055916
1783989959.940053, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829292783875
1783989959.940104, CLIP GPU encode pilot, pipeline - val, run, end, 62614350662538051817666435393464228992, 1783989959.884448, 1, 65, 81829292831125
1783989959.940284, CLIP GPU encode pilot, pipeline - val, run, start, 336732305295157231538674268282468646185, 1783989959.940258, 1, 66, 81829293009541
1783989959.940375, CLIP GPU encode pilot, VQA dataloader, run, start, 81829293100291
1783989959.943459, CLIP GPU encode pilot, VQA dataloader, run, end, 81829296185333
1783989959.943532, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829296261541
1783989959.995268, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829347998958
1783989959.995321, CLIP GPU encode pilot, pipeline - val, run, end, 336732305295157231538674268282468646185, 1783989959.940258, 1, 66, 81829348047041
1783989959.995499, CLIP GPU encode pilot, pipeline - val, run, start, 72896076360618034491635535291606066032, 1783989959.995469, 1, 67, 81829348222458
1783989959.995577, CLIP GPU encode pilot, VQA dataloader, run, start, 81829348301625
1783989959.998720, CLIP GPU encode pilot, VQA dataloader, run, end, 81829351445833
1783989959.998783, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829351506250
1783989960.049729, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829402467625
1783989960.049790, CLIP GPU encode pilot, pipeline - val, run, end, 72896076360618034491635535291606066032, 1783989959.995469, 1, 67, 81829402516541
1783989960.049970, CLIP GPU encode pilot, pipeline - val, run, start, 186448434490640747979665311816484012320, 1783989960.049940, 1, 68, 81829402698625
1783989960.050052, CLIP GPU encode pilot, VQA dataloader, run, start, 81829402776958
1783989960.053145, CLIP GPU encode pilot, VQA dataloader, run, end, 81829405870375
1783989960.053206, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829405928666
1783989960.104471, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829457201666
1783989960.104529, CLIP GPU encode pilot, pipeline - val, run, end, 186448434490640747979665311816484012320, 1783989960.049940, 1, 68, 81829457253958
1783989960.104690, CLIP GPU encode pilot, pipeline - val, run, start, 126779207469278670388160797815496032401, 1783989960.104663, 1, 69, 81829457414125
1783989960.104787, CLIP GPU encode pilot, VQA dataloader, run, start, 81829457510375
1783989960.106578, CLIP GPU encode pilot, VQA dataloader, run, end, 81829459302833
1783989960.106617, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829459340416
1783989960.158354, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829511084041
1783989960.158407, CLIP GPU encode pilot, pipeline - val, run, end, 126779207469278670388160797815496032401, 1783989960.104663, 1, 69, 81829511131708
1783989960.158596, CLIP GPU encode pilot, pipeline - val, run, start, 71060194888238036652674460005420648534, 1783989960.158568, 1, 70, 81829511319166
1783989960.158675, CLIP GPU encode pilot, VQA dataloader, run, start, 81829511398250
1783989960.161444, CLIP GPU encode pilot, VQA dataloader, run, end, 81829514168083
1783989960.161506, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829514228458
1783989960.212895, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829565624875
1783989960.212947, CLIP GPU encode pilot, pipeline - val, run, end, 71060194888238036652674460005420648534, 1783989960.158568, 1, 70, 81829565671916
1783989960.213125, CLIP GPU encode pilot, pipeline - val, run, start, 159080851928918481151127398468535217339, 1783989960.213099, 1, 71, 81829565848458
1783989960.213206, CLIP GPU encode pilot, VQA dataloader, run, start, 81829565929583
1783989960.216628, CLIP GPU encode pilot, VQA dataloader, run, end, 81829569352041
1783989960.216687, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829569409000
1783989960.267841, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829620569833
1783989960.267892, CLIP GPU encode pilot, pipeline - val, run, end, 159080851928918481151127398468535217339, 1783989960.213099, 1, 71, 81829620616666
1783989960.268065, CLIP GPU encode pilot, pipeline - val, run, start, 44750770145291889586869605075510351162, 1783989960.268038, 1, 72, 81829620787333
1783989960.268145, CLIP GPU encode pilot, VQA dataloader, run, start, 81829620868333
1783989960.271695, CLIP GPU encode pilot, VQA dataloader, run, end, 81829624418583
1783989960.271753, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829624474125
1783989960.322904, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829675631791
1783989960.322961, CLIP GPU encode pilot, pipeline - val, run, end, 44750770145291889586869605075510351162, 1783989960.268038, 1, 72, 81829675684458
1783989960.323136, CLIP GPU encode pilot, pipeline - val, run, start, 234160350996847538313905185827630800533, 1783989960.323106, 1, 73, 81829675858166
1783989960.323217, CLIP GPU encode pilot, VQA dataloader, run, start, 81829675939625
1783989960.325985, CLIP GPU encode pilot, VQA dataloader, run, end, 81829678707625
1783989960.326044, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829678764833
1783989960.377112, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829729839375
1783989960.377165, CLIP GPU encode pilot, pipeline - val, run, end, 234160350996847538313905185827630800533, 1783989960.323106, 1, 73, 81829729888666
1783989960.377340, CLIP GPU encode pilot, pipeline - val, run, start, 296836634796885709892111710831695887354, 1783989960.377313, 1, 74, 81829730061583
1783989960.377430, CLIP GPU encode pilot, VQA dataloader, run, start, 81829730151666
1783989960.380202, CLIP GPU encode pilot, VQA dataloader, run, end, 81829732924666
1783989960.380261, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829732981291
1783989960.431666, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829784394583
1783989960.431719, CLIP GPU encode pilot, pipeline - val, run, end, 296836634796885709892111710831695887354, 1783989960.377313, 1, 74, 81829784449750
1783989960.431897, CLIP GPU encode pilot, pipeline - val, run, start, 213588951167761023470375065213908580546, 1783989960.431870, 1, 75, 81829784618291
1783989960.431977, CLIP GPU encode pilot, VQA dataloader, run, start, 81829784698875
1783989960.435435, CLIP GPU encode pilot, VQA dataloader, run, end, 81829788156583
1783989960.435492, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829788212250
1783989960.486768, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829839495833
1783989960.486822, CLIP GPU encode pilot, pipeline - val, run, end, 213588951167761023470375065213908580546, 1783989960.431870, 1, 75, 81829839544625
1783989960.487000, CLIP GPU encode pilot, pipeline - val, run, start, 149376556997894111757231727228615259607, 1783989960.486967, 1, 76, 81829839721333
1783989960.487096, CLIP GPU encode pilot, VQA dataloader, run, start, 81829839817625
1783989960.490231, CLIP GPU encode pilot, VQA dataloader, run, end, 81829842952875
1783989960.490290, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829843010541
1783989960.541322, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829894053458
1783989960.541398, CLIP GPU encode pilot, pipeline - val, run, end, 149376556997894111757231727228615259607, 1783989960.486967, 1, 76, 81829894121166
1783989960.541586, CLIP GPU encode pilot, pipeline - val, run, start, 166905042358950001651989329024586124126, 1783989960.541556, 1, 77, 81829894306500
1783989960.541678, CLIP GPU encode pilot, VQA dataloader, run, start, 81829894399750
1783989960.545786, CLIP GPU encode pilot, VQA dataloader, run, end, 81829898507958
1783989960.545846, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829898565791
1783989960.597662, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81829950388333
1783989960.597716, CLIP GPU encode pilot, pipeline - val, run, end, 166905042358950001651989329024586124126, 1783989960.541556, 1, 77, 81829950438125
1783989960.597885, CLIP GPU encode pilot, pipeline - val, run, start, 257658664987176822202490072721186306407, 1783989960.597857, 1, 78, 81829950604958
1783989960.597963, CLIP GPU encode pilot, VQA dataloader, run, start, 81829950684250
1783989960.602344, CLIP GPU encode pilot, VQA dataloader, run, end, 81829955065541
1783989960.602404, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81829955123458
1783989960.653705, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830006431333
1783989960.653763, CLIP GPU encode pilot, pipeline - val, run, end, 257658664987176822202490072721186306407, 1783989960.597857, 1, 78, 81830006489708
1783989960.653949, CLIP GPU encode pilot, pipeline - val, run, start, 53066448772238727315631056281819234097, 1783989960.653912, 1, 79, 81830006668666
1783989960.654035, CLIP GPU encode pilot, VQA dataloader, run, start, 81830006755500
1783989960.657061, CLIP GPU encode pilot, VQA dataloader, run, end, 81830009782000
1783989960.657120, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830009838750
1783989960.708113, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830060837416
1783989960.708162, CLIP GPU encode pilot, pipeline - val, run, end, 53066448772238727315631056281819234097, 1783989960.653912, 1, 79, 81830060883541
1783989960.708342, CLIP GPU encode pilot, pipeline - val, run, start, 176487744731210773830454290993540414766, 1783989960.708316, 1, 80, 81830061061416
1783989960.708433, CLIP GPU encode pilot, VQA dataloader, run, start, 81830061152708
1783989960.711265, CLIP GPU encode pilot, VQA dataloader, run, end, 81830063985375
1783989960.711329, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830064047583
1783989960.762096, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830114822166
1783989960.762152, CLIP GPU encode pilot, pipeline - val, run, end, 176487744731210773830454290993540414766, 1783989960.708316, 1, 80, 81830114874208
1783989960.762345, CLIP GPU encode pilot, pipeline - val, run, start, 189973076415638887845489653873613903344, 1783989960.762317, 1, 81, 81830115064458
1783989960.762426, CLIP GPU encode pilot, VQA dataloader, run, start, 81830115146041
1783989960.765889, CLIP GPU encode pilot, VQA dataloader, run, end, 81830118609291
1783989960.765952, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830118669875
1783989960.817320, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830170044125
1783989960.817371, CLIP GPU encode pilot, pipeline - val, run, end, 189973076415638887845489653873613903344, 1783989960.762317, 1, 81, 81830170092833
1783989960.817550, CLIP GPU encode pilot, pipeline - val, run, start, 274848378672772270712292355184158289575, 1783989960.817523, 1, 82, 81830170273666
1783989960.817634, CLIP GPU encode pilot, VQA dataloader, run, start, 81830170353083
1783989960.821109, CLIP GPU encode pilot, VQA dataloader, run, end, 81830173828625
1783989960.821148, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830173866916
1783989960.872846, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830225571875
1783989960.872903, CLIP GPU encode pilot, pipeline - val, run, end, 274848378672772270712292355184158289575, 1783989960.817523, 1, 82, 81830225621958
1783989960.873089, CLIP GPU encode pilot, pipeline - val, run, start, 323082160326428069841254284968337500972, 1783989960.873062, 1, 83, 81830225808125
1783989960.873170, CLIP GPU encode pilot, VQA dataloader, run, start, 81830225888375
1783989960.874898, CLIP GPU encode pilot, VQA dataloader, run, end, 81830227616291
1783989960.874950, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830227667041
1783989960.925833, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830278556000
1783989960.925889, CLIP GPU encode pilot, pipeline - val, run, end, 323082160326428069841254284968337500972, 1783989960.873062, 1, 83, 81830278611125
1783989960.926076, CLIP GPU encode pilot, pipeline - val, run, start, 260406201145075219323705443398161680154, 1783989960.926050, 1, 84, 81830278793666
1783989960.926158, CLIP GPU encode pilot, VQA dataloader, run, start, 81830278876958
1783989960.930033, CLIP GPU encode pilot, VQA dataloader, run, end, 81830282751958
1783989960.930084, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830282801333
1783989960.981593, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830334317875
1783989960.981649, CLIP GPU encode pilot, pipeline - val, run, end, 260406201145075219323705443398161680154, 1783989960.926050, 1, 84, 81830334368875
1783989960.981846, CLIP GPU encode pilot, pipeline - val, run, start, 199972181103249949130866970904849777971, 1783989960.981814, 1, 85, 81830334563083
1783989960.981930, CLIP GPU encode pilot, VQA dataloader, run, start, 81830334648291
1783989960.985273, CLIP GPU encode pilot, VQA dataloader, run, end, 81830337991333
1783989960.985336, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830338052833
1783989961.037057, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830389779875
1783989961.037109, CLIP GPU encode pilot, pipeline - val, run, end, 199972181103249949130866970904849777971, 1783989960.981814, 1, 85, 81830389828333
1783989961.037289, CLIP GPU encode pilot, pipeline - val, run, start, 129614442583211658912724515922789474499, 1783989961.037256, 1, 86, 81830390006458
1783989961.037371, CLIP GPU encode pilot, VQA dataloader, run, start, 81830390088750
1783989961.041617, CLIP GPU encode pilot, VQA dataloader, run, end, 81830394335291
1783989961.041682, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830394398500
1783989961.092702, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830445425583
1783989961.092759, CLIP GPU encode pilot, pipeline - val, run, end, 129614442583211658912724515922789474499, 1783989961.037256, 1, 86, 81830445478125
1783989961.092941, CLIP GPU encode pilot, pipeline - val, run, start, 325220860624784758342096978130165381253, 1783989961.092914, 1, 87, 81830445657875
1783989961.093036, CLIP GPU encode pilot, VQA dataloader, run, start, 81830445753583
1783989961.097307, CLIP GPU encode pilot, VQA dataloader, run, end, 81830450025333
1783989961.097369, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830450085000
1783989961.148266, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830500998541
1783989961.148327, CLIP GPU encode pilot, pipeline - val, run, end, 325220860624784758342096978130165381253, 1783989961.092914, 1, 87, 81830501045750
1783989961.148506, CLIP GPU encode pilot, pipeline - val, run, start, 84377198493280621536693388316394715917, 1783989961.148480, 1, 88, 81830501222666
1783989961.148592, CLIP GPU encode pilot, VQA dataloader, run, start, 81830501309291
1783989961.151401, CLIP GPU encode pilot, VQA dataloader, run, end, 81830504118875
1783989961.151462, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830504177500
1783989961.202984, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830555706000
1783989961.203041, CLIP GPU encode pilot, pipeline - val, run, end, 84377198493280621536693388316394715917, 1783989961.148480, 1, 88, 81830555759291
1783989961.203233, CLIP GPU encode pilot, pipeline - val, run, start, 123786622198394602815451371155477022398, 1783989961.203207, 1, 89, 81830555948958
1783989961.203319, CLIP GPU encode pilot, VQA dataloader, run, start, 81830556036083
1783989961.207028, CLIP GPU encode pilot, VQA dataloader, run, end, 81830559745500
1783989961.207094, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830559809541
1783989961.258566, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830611297875
1783989961.258626, CLIP GPU encode pilot, pipeline - val, run, end, 123786622198394602815451371155477022398, 1783989961.203207, 1, 89, 81830611343416
1783989961.258812, CLIP GPU encode pilot, pipeline - val, run, start, 45129768926640706354339358118215769064, 1783989961.258784, 1, 90, 81830611528375
1783989961.258881, CLIP GPU encode pilot, VQA dataloader, run, start, 81830611595833
1783989961.261767, CLIP GPU encode pilot, VQA dataloader, run, end, 81830614483125
1783989961.261824, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830614538791
1783989961.313016, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830665736416
1783989961.313077, CLIP GPU encode pilot, pipeline - val, run, end, 45129768926640706354339358118215769064, 1783989961.258784, 1, 90, 81830665794333
1783989961.313246, CLIP GPU encode pilot, pipeline - val, run, start, 251375189654505421704565140768643378481, 1783989961.313220, 1, 91, 81830665961000
1783989961.313330, CLIP GPU encode pilot, VQA dataloader, run, start, 81830666045583
1783989961.317368, CLIP GPU encode pilot, VQA dataloader, run, end, 81830670084458
1783989961.317428, CLIP GPU encode pilot, CLIP vision encoder, run, start, 81830670141666
1783989961.558719, CLIP GPU encode pilot, CLIP vision encoder, run, end, 81830911445541
1783989961.558782, CLIP GPU encode pilot, pipeline - val, run, end, 251375189654505421704565140768643378481, 1783989961.313220, 1, 91, 81830911497000
1783989961.558949, CLIP GPU encode pilot, pipeline - val, run, start, 83635497851570239249873547012445582868, 1783989961.558924, 1, 92, 81830911664500
1783989961.559026, CLIP GPU encode pilot, VQA dataloader, run, start, 81830911738250
1783989961.561137, CLIP GPU encode pilot, VQA dataloader, run, end, 81830913850291
