1769611524.408986, EfficientNetv2 S Imagenette training, pipeline, prepare, start
1769614565.437049, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.437079, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.525640, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.525697, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.436756, 1, 34
1769614565.525774, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.525759, 1, 35
1769614565.525805, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.526014, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.526038, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.613527, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.613583, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.525759, 1, 35
1769614565.613670, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.613652, 1, 36
1769614565.613708, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.613939, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.613968, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.700187, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.700241, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.613652, 1, 36
1769614565.700329, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.700311, 1, 37
1769614565.700362, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.700605, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.700677, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.787396, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.787454, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.700311, 1, 37
1769614565.787540, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.787524, 1, 38
1769614565.787573, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.787821, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.787847, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.874868, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.874924, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.787524, 1, 38
1769614565.875055, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.875030, 1, 39
1769614565.875094, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.875328, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.875357, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614565.962044, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614565.962102, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.875030, 1, 39
1769614565.962225, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614565.962205, 1, 40
1769614565.962269, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614565.962502, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614565.962530, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.052451, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.052515, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614565.962205, 1, 40
1769614566.052606, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.052586, 1, 41
1769614566.052639, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.052878, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.052906, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.140432, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.140496, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.052586, 1, 41
1769614566.140583, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.140567, 1, 42
1769614566.140621, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.140887, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.140931, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.229660, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.229719, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.140567, 1, 42
1769614566.229807, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.229791, 1, 43
1769614566.229846, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.230081, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.230108, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.317126, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.317187, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.229791, 1, 43
1769614566.317274, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.317256, 1, 44
1769614566.317309, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.317552, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.317585, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.405313, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.405367, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.317256, 1, 44
1769614566.405455, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.405438, 1, 45
1769614566.405493, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.405727, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.405754, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.493925, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.493981, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.405438, 1, 45
1769614566.494068, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.494048, 1, 46
1769614566.494101, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.494329, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.494357, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.580552, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.580608, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.494048, 1, 46
1769614566.580699, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.580677, 1, 47
1769614566.580737, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.580977, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.581039, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.669006, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.669066, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.580677, 1, 47
1769614566.669151, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.669134, 1, 48
1769614566.669184, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.669459, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.669537, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.757193, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.757249, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.669134, 1, 48
1769614566.757335, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.757317, 1, 49
1769614566.757368, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.757598, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.757697, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.844851, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.844916, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.757317, 1, 49
1769614566.845012, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.844991, 1, 50
1769614566.845055, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.845324, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.845362, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614566.932805, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614566.932864, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.844991, 1, 50
1769614566.932951, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614566.932935, 1, 51
1769614566.932987, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614566.933214, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614566.933241, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.020611, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.020669, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614566.932935, 1, 51
1769614567.020752, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.020735, 1, 52
1769614567.020795, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.021020, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.021046, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.108236, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.108292, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.020735, 1, 52
1769614567.108376, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.108358, 1, 53
1769614567.108421, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.108659, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.108732, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.195311, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.195369, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.108358, 1, 53
1769614567.195465, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.195448, 1, 54
1769614567.195503, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.195798, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.195872, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.282924, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.282977, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.195448, 1, 54
1769614567.283058, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.283042, 1, 55
1769614567.283089, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.283300, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.283327, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.369937, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.369996, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.283042, 1, 55
1769614567.370074, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.370059, 1, 56
1769614567.370110, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.370331, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.370358, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.457474, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.457527, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.370059, 1, 56
1769614567.457611, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.457594, 1, 57
1769614567.457660, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.457888, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.457934, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.546905, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.546958, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.457594, 1, 57
1769614567.547049, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.547030, 1, 58
1769614567.547086, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.547338, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.547365, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.634515, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.634575, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.547030, 1, 58
1769614567.634664, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.634646, 1, 59
1769614567.634706, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.634943, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.634971, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.722361, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.722421, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.634646, 1, 59
1769614567.722503, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.722486, 1, 60
1769614567.722538, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.722754, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.722781, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.809895, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.809952, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.722486, 1, 60
1769614567.810048, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.810027, 1, 61
1769614567.810101, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.810476, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.810584, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.897729, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.897784, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.810027, 1, 61
1769614567.897862, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.897847, 1, 62
1769614567.897893, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.898125, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.898181, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614567.985216, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614567.985282, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.897847, 1, 62
1769614567.985358, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614567.985341, 1, 63
1769614567.985398, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614567.985649, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614567.985682, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.072953, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.073007, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614567.985341, 1, 63
1769614568.073096, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.073078, 1, 64
1769614568.073130, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.073382, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.073439, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.160781, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.160841, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.073078, 1, 64
1769614568.160934, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.160914, 1, 65
1769614568.160977, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.161339, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.161413, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.248770, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.248826, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.160914, 1, 65
1769614568.248919, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.248900, 1, 66
1769614568.248956, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.249230, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.249300, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.336455, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.336524, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.248900, 1, 66
1769614568.336612, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.336588, 1, 67
1769614568.336652, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.336901, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.336931, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.424274, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.424329, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.336588, 1, 67
1769614568.424413, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.424396, 1, 68
1769614568.424451, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.424681, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.424767, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.512903, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.512960, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.424396, 1, 68
1769614568.513041, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.513024, 1, 69
1769614568.513074, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.513297, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.513323, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.600602, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.600661, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.513024, 1, 69
1769614568.600747, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.600731, 1, 70
1769614568.600781, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.601073, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.601137, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.688785, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.688843, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.600731, 1, 70
1769614568.688931, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.688913, 1, 71
1769614568.688965, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.689221, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.689249, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.778190, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.778260, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.688913, 1, 71
1769614568.778352, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.778330, 1, 72
1769614568.778385, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.778641, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.778708, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.867781, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.867856, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.778330, 1, 72
1769614568.867949, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.867933, 1, 73
1769614568.867985, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.868223, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.868277, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614568.956477, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614568.956540, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.867933, 1, 73
1769614568.956624, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614568.956607, 1, 74
1769614568.956668, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614568.956897, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614568.956963, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.044383, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.044449, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614568.956607, 1, 74
1769614569.044534, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.044517, 1, 75
1769614569.044568, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.044911, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.044994, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.133984, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.134065, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.044517, 1, 75
1769614569.134210, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.134193, 1, 76
1769614569.134246, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.134489, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.134538, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.223642, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.223710, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.134193, 1, 76
1769614569.223813, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.223790, 1, 77
1769614569.223852, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.224143, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.224229, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.313033, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.313104, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.223790, 1, 77
1769614569.313202, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.313181, 1, 78
1769614569.313246, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.313571, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.313638, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.400872, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.400930, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.313181, 1, 78
1769614569.401023, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.401003, 1, 79
1769614569.401063, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, start
1769614569.401325, EfficientNetv2 S Imagenette training, Load Imagenette samples from TorchVision Dataset, run, end
1769614569.401396, EfficientNetv2 S Imagenette training, EfficientNet training, run, start
1769614569.488248, EfficientNetv2 S Imagenette training, EfficientNet training, run, end
1769614569.488297, EfficientNetv2 S Imagenette training, pipeline - train, run, end, 325956402636359661800446180019783747144, 1769614569.401003, 1, 79
1769614569.488388, EfficientNetv2 S Imagenette training, pipeline - train, run, start, 325956402636359661800446180019783747144, 1769614569.488372, 1, 80
